# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
34            	smoothSolver	1.379220e-03	1.125050e-04	8	2.886120e-02	2.593420e-03	7	2.748470e-02	2.380740e-03	7	false	GAMG	1.135170e-02	5.193890e-05	4	true
35            	smoothSolver	1.318760e-03	1.056470e-04	8	2.819040e-02	2.495200e-03	7	2.633210e-02	2.228170e-03	7	false	GAMG	1.107160e-02	4.782810e-05	4	true
36            	smoothSolver	1.263920e-03	9.921050e-05	8	2.756610e-02	2.399960e-03	7	2.516750e-02	2.097160e-03	7	false	GAMG	1.075300e-02	4.492100e-05	4	true
37            	smoothSolver	1.203710e-03	9.317870e-05	8	2.683880e-02	2.302580e-03	7	2.396170e-02	1.971040e-03	7	false	GAMG	1.037860e-02	4.398750e-05	4	true
38            	smoothSolver	1.143060e-03	8.824230e-05	8	2.605230e-02	2.212880e-03	7	2.261210e-02	1.851010e-03	7	false	GAMG	9.939060e-03	4.425140e-05	4	true
39            	smoothSolver	1.082990e-03	8.430830e-05	8	2.526790e-02	2.149930e-03	7	2.137460e-02	1.754140e-03	7	false	GAMG	9.495420e-03	4.514640e-05	4	true
40            	smoothSolver	1.028240e-03	8.116750e-05	8	2.437950e-02	2.079680e-03	7	2.023180e-02	1.668610e-03	7	false	GAMG	9.086500e-03	4.588870e-05	4	true
41            	smoothSolver	9.817890e-04	7.832590e-05	8	2.336650e-02	1.981700e-03	7	1.922520e-02	1.588560e-03	7	false	GAMG	8.716030e-03	4.584300e-05	4	true
42            	smoothSolver	9.353970e-04	7.565720e-05	8	2.230180e-02	1.880600e-03	7	1.837190e-02	1.513790e-03	7	false	GAMG	8.382180e-03	4.512100e-05	4	true
43            	smoothSolver	8.874060e-04	7.247530e-05	8	2.116760e-02	1.774810e-03	7	1.754520e-02	1.440070e-03	7	false	GAMG	8.058580e-03	4.327010e-05	4	true
44            	smoothSolver	8.428230e-04	6.891380e-05	8	1.999670e-02	1.673690e-03	7	1.667530e-02	1.363410e-03	7	false	GAMG	7.749160e-03	4.131220e-05	4	true
45            	smoothSolver	8.028510e-04	6.551290e-05	8	1.887530e-02	1.593790e-03	7	1.586150e-02	1.289860e-03	7	false	GAMG	7.462560e-03	3.958780e-05	4	true
46            	smoothSolver	7.702040e-04	6.275790e-05	8	1.796060e-02	1.532260e-03	7	1.510080e-02	1.229960e-03	7	false	GAMG	7.193650e-03	3.791170e-05	4	true
47            	smoothSolver	7.424440e-04	6.053170e-05	8	1.727860e-02	1.481050e-03	7	1.456350e-02	1.189560e-03	7	false	GAMG	6.943890e-03	3.624450e-05	4	true
48            	smoothSolver	7.195440e-04	5.843000e-05	8	1.679700e-02	1.436400e-03	7	1.415680e-02	1.160680e-03	7	false	GAMG	6.732080e-03	3.488300e-05	4	true
49            	smoothSolver	6.978230e-04	5.615900e-05	8	1.630610e-02	1.387320e-03	7	1.379080e-02	1.131350e-03	7	false	GAMG	6.547500e-03	3.408200e-05	4	true
50            	smoothSolver	6.765680e-04	5.356220e-05	8	1.578530e-02	1.335150e-03	7	1.337320e-02	1.096120e-03	7	false	GAMG	6.369910e-03	3.314730e-05	4	true
51            	smoothSolver	6.545900e-04	5.080510e-05	8	1.515770e-02	1.273330e-03	7	1.294430e-02	1.053940e-03	7	false	GAMG	6.183050e-03	3.173540e-05	4	true
52            	smoothSolver	6.327560e-04	4.818950e-05	8	1.455760e-02	1.212460e-03	7	1.253310e-02	1.018560e-03	7	false	GAMG	5.988190e-03	2.991330e-05	4	true
