# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
228           	4.138225e-01	1.918145e-01	2.220080e-01	6.699197e-02	1.863769e-01	-1.193849e-01	1.528809e-01	-1.509675e-02	1.117500e-02	1.824813e-02	2.029906e-02	-2.050931e-03
229           	4.138465e-01	1.918779e-01	2.219686e-01	6.692236e-02	1.863514e-01	-1.194291e-01	1.528903e-01	-1.504531e-02	1.127029e-02	1.811375e-02	2.032716e-02	-2.213413e-03
230           	4.138524e-01	1.919308e-01	2.219216e-01	6.679646e-02	1.862694e-01	-1.194730e-01	1.528712e-01	-1.499543e-02	1.137151e-02	1.801443e-02	2.037872e-02	-2.364295e-03
231           	4.139051e-01	1.920017e-01	2.219033e-01	6.670988e-02	1.862756e-01	-1.195658e-01	1.529207e-01	-1.495078e-02	1.145135e-02	1.792293e-02	2.041282e-02	-2.489887e-03
232           	4.139846e-01	1.920892e-01	2.218954e-01	6.654977e-02	1.862213e-01	-1.196715e-01	1.529464e-01	-1.490313e-02	1.152801e-02	1.782574e-02	2.044088e-02	-2.615140e-03
233           	4.140303e-01	1.921817e-01	2.218486e-01	6.645054e-02	1.862171e-01	-1.197666e-01	1.529919e-01	-1.483347e-02	1.161117e-02	1.764783e-02	2.043508e-02	-2.787250e-03
234           	4.141035e-01	1.922879e-01	2.218156e-01	6.630778e-02	1.861873e-01	-1.198795e-01	1.530334e-01	-1.476388e-02	1.169127e-02	1.747731e-02	2.042992e-02	-2.952610e-03
235           	4.142059e-01	1.924350e-01	2.217709e-01	6.622383e-02	1.862258e-01	-1.200020e-01	1.531139e-01	-1.466794e-02	1.178736e-02	1.722180e-02	2.039826e-02	-3.176463e-03
236           	4.143530e-01	1.925918e-01	2.217612e-01	6.609605e-02	1.862299e-01	-1.201339e-01	1.531819e-01	-1.458472e-02	1.187649e-02	1.700960e-02	2.038129e-02	-3.371694e-03
237           	4.144337e-01	1.927439e-01	2.216898e-01	6.608215e-02	1.862787e-01	-1.201965e-01	1.532376e-01	-1.447294e-02	1.201951e-02	1.666653e-02	2.035278e-02	-3.686247e-03
238           	4.145806e-01	1.928881e-01	2.216925e-01	6.602667e-02	1.863269e-01	-1.203002e-01	1.533135e-01	-1.440223e-02	1.214011e-02	1.645477e-02	2.036750e-02	-3.912727e-03
239           	4.146428e-01	1.929830e-01	2.216598e-01	6.609649e-02	1.864134e-01	-1.203169e-01	1.533652e-01	-1.433843e-02	1.232911e-02	1.619185e-02	2.042504e-02	-4.233185e-03
240           	4.148177e-01	1.931231e-01	2.216946e-01	6.607433e-02	1.864638e-01	-1.203894e-01	1.534266e-01	-1.428574e-02	1.248904e-02	1.599213e-02	2.048511e-02	-4.492978e-03
241           	4.150215e-01	1.933137e-01	2.217078e-01	6.612443e-02	1.865887e-01	-1.204642e-01	1.535265e-01	-1.419708e-02	1.266114e-02	1.572172e-02	2.052200e-02	-4.800284e-03
242           	4.152708e-01	1.935491e-01	2.217217e-01	6.608729e-02	1.866488e-01	-1.205615e-01	1.536052e-01	-1.408633e-02	1.282585e-02	1.542419e-02	2.053794e-02	-5.113752e-03
243           	4.155052e-01	1.938326e-01	2.216727e-01	6.611549e-02	1.867476e-01	-1.206321e-01	1.536899e-01	-1.392004e-02	1.298280e-02	1.503526e-02	2.050043e-02	-5.465170e-03
244           	4.157508e-01	1.941445e-01	2.216062e-01	6.614526e-02	1.868322e-01	-1.206870e-01	1.537596e-01	-1.373084e-02	1.312381e-02	1.462270e-02	2.043516e-02	-5.812460e-03
245           	4.160019e-01	1.945021e-01	2.214998e-01	6.622495e-02	1.869667e-01	-1.207417e-01	1.538542e-01	-1.349883e-02	1.322334e-02	1.416147e-02	2.030407e-02	-6.142599e-03
246           	4.162399e-01	1.948515e-01	2.213884e-01	6.631902e-02	1.870826e-01	-1.207636e-01	1.539231e-01	-1.326849e-02	1.328719e-02	1.373463e-02	2.015450e-02	-6.419873e-03
247           	4.164399e-01	1.952002e-01	2.212397e-01	6.645429e-02	1.872329e-01	-1.207786e-01	1.540057e-01	-1.301974e-02	1.329475e-02	1.333290e-02	1.996121e-02	-6.628303e-03
248           	4.166263e-01	1.955224e-01	2.211039e-01	6.660014e-02	1.873724e-01	-1.207723e-01	1.540724e-01	-1.279074e-02	1.327296e-02	1.301181e-02	1.977887e-02	-6.767060e-03
249           	4.167743e-01	1.958578e-01	2.209165e-01	6.671699e-02	1.875100e-01	-1.207930e-01	1.541515e-01	-1.252933e-02	1.322586e-02	1.267093e-02	1.956132e-02	-6.890390e-03
250           	4.169381e-01	1.961539e-01	2.207843e-01	6.680198e-02	1.876283e-01	-1.208263e-01	1.542273e-01	-1.231520e-02	1.315191e-02	1.244685e-02	1.937534e-02	-6.928491e-03
251           	4.170570e-01	1.964404e-01	2.206166e-01	6.690537e-02	1.877773e-01	-1.208719e-01	1.543246e-01	-1.208807e-02	1.308001e-02	1.220900e-02	1.918451e-02	-6.975509e-03
252           	4.171936e-01	1.966774e-01	2.205163e-01	6.697787e-02	1.879017e-01	-1.209239e-01	1.544128e-01	-1.191945e-02	1.300388e-02	1.210417e-02	1.905597e-02	-6.951799e-03
253           	4.172476e-01	1.968517e-01	2.203959e-01	6.706774e-02	1.880379e-01	-1.209701e-01	1.545040e-01	-1.177213e-02	1.294049e-02	1.204183e-02	1.896140e-02	-6.919570e-03
254           	4.172801e-01	1.969193e-01	2.203608e-01	6.718004e-02	1.881723e-01	-1.209922e-01	1.545822e-01	-1.172076e-02	1.286641e-02	1.217596e-02	1.895439e-02	-6.778427e-03
255           	4.172544e-01	1.969196e-01	2.203348e-01	6.731572e-02	1.883302e-01	-1.210145e-01	1.546723e-01	-1.170757e-02	1.280013e-02	1.236622e-02	1.898324e-02	-6.617023e-03
256           	4.172227e-01	1.968190e-01	2.204037e-01	6.742473e-02	1.884553e-01	-1.210306e-01	1.547429e-01	-1.179233e-02	1.270673e-02	1.274941e-02	1.908143e-02	-6.332025e-03
257           	4.171560e-01	1.966716e-01	2.204844e-01	6.756270e-02	1.886267e-01	-1.210640e-01	1.548453e-01	-1.190640e-02	1.262742e-02	1.315651e-02	1.920567e-02	-6.049167e-03
258           	4.171309e-01	1.964686e-01	2.206623e-01	6.765207e-02	1.887909e-01	-1.211389e-01	1.549649e-01	-1.209687e-02	1.254422e-02	1.369192e-02	1.939018e-02	-5.698263e-03
259           	4.170789e-01	1.962422e-01	2.208366e-01	6.771907e-02	1.889635e-01	-1.212444e-01	1.551039e-01	-1.229721e-02	1.248340e-02	1.419746e-02	1.958213e-02	-5.384668e-03
260           	4.170640e-01	1.959948e-01	2.210692e-01	6.767998e-02	1.890858e-01	-1.214058e-01	1.552458e-01	-1.253723e-02	1.244195e-02	1.472970e-02	1.980680e-02	-5.077096e-03
261           	4.170703e-01	1.957666e-01	2.213037e-01	6.763877e-02	1.892568e-01	-1.216180e-01	1.554374e-01	-1.276858e-02	1.243123e-02	1.519944e-02	2.003095e-02	-4.831504e-03
262           	4.171091e-01	1.954933e-01	2.216158e-01	6.747660e-02	1.893182e-01	-1.218416e-01	1.555799e-01	-1.306123e-02	1.244445e-02	1.574443e-02	2.031666e-02	-4.572231e-03
263           	4.170942e-01	1.952002e-01	2.218940e-01	6.730890e-02	1.893529e-01	-1.220440e-01	1.556985e-01	-1.334694e-02	1.250178e-02	1.624875e-02	2.062616e-02	-4.377409e-03
264           	4.171280e-01	1.948802e-01	2.222478e-01	6.712302e-02	1.893643e-01	-1.222413e-01	1.558028e-01	-1.368378e-02	1.258552e-02	1.681970e-02	2.099537e-02	-4.175672e-03
265           	4.171074e-01	1.945172e-01	2.225903e-01	6.692331e-02	1.893394e-01	-1.224161e-01	1.558777e-01	-1.403653e-02	1.270141e-02	1.739312e-02	2.139797e-02	-4.004854e-03
266           	4.170532e-01	1.940997e-01	2.229535e-01	6.673992e-02	1.892609e-01	-1.225210e-01	1.558909e-01	-1.442687e-02	1.282914e-02	1.801226e-02	2.183527e-02	-3.823009e-03
267           	4.169510e-01	1.936752e-01	2.232758e-01	6.662102e-02	1.892110e-01	-1.225900e-01	1.559005e-01	-1.480031e-02	1.298741e-02	1.857342e-02	2.227413e-02	-3.700701e-03
268           	4.168890e-01	1.932521e-01	2.236369e-01	6.649457e-02	1.891333e-01	-1.226387e-01	1.558860e-01	-1.519238e-02	1.312933e-02	1.914906e-02	2.270386e-02	-3.554800e-03
269           	4.168351e-01	1.928795e-01	2.239555e-01	6.641523e-02	1.890986e-01	-1.226833e-01	1.558910e-01	-1.553798e-02	1.327931e-02	1.962139e-02	2.309000e-02	-3.468612e-03
270           	4.167568e-01	1.924710e-01	2.242858e-01	6.634130e-02	1.889903e-01	-1.226490e-01	1.558196e-01	-1.590738e-02	1.337463e-02	2.014920e-02	2.344923e-02	-3.300028e-03
271           	4.165927e-01	1.920293e-01	2.245634e-01	6.633342e-02	1.888843e-01	-1.225508e-01	1.557175e-01	-1.626702e-02	1.342578e-02	2.070722e-02	2.377939e-02	-3.072168e-03
272           	4.163666e-01	1.916384e-01	2.247282e-01	6.630138e-02	1.886794e-01	-1.223780e-01	1.555287e-01	-1.654488e-02	1.346113e-02	2.117155e-02	2.404690e-02	-2.875354e-03
273           	4.160801e-01	1.914174e-01	2.246628e-01	6.630838e-02	1.884703e-01	-1.221619e-01	1.553161e-01	-1.662270e-02	1.354304e-02	2.129490e-02	2.419049e-02	-2.895594e-03
274           	4.159256e-01	1.914016e-01	2.245240e-01	6.628759e-02	1.882884e-01	-1.220008e-01	1.551446e-01	-1.656122e-02	1.364342e-02	2.114782e-02	2.421733e-02	-3.069511e-03
275           	4.158176e-01	1.914824e-01	2.243352e-01	6.625049e-02	1.881386e-01	-1.218881e-01	1.550133e-01	-1.642640e-02	1.374035e-02	2.088528e-02	2.418299e-02	-3.297711e-03
276           	4.156536e-01	1.914979e-01	2.241557e-01	6.611794e-02	1.878770e-01	-1.217591e-01	1.548181e-01	-1.632888e-02	1.380426e-02	2.070613e-02	2.415732e-02	-3.451190e-03
277           	4.153646e-01	1.914115e-01	2.239531e-01	6.600641e-02	1.876235e-01	-1.216171e-01	1.546203e-01	-1.627077e-02	1.384166e-02	2.062306e-02	2.415319e-02	-3.530129e-03
278           	4.149415e-01	1.911846e-01	2.237569e-01	6.583539e-02	1.872865e-01	-1.214511e-01	1.543688e-01	-1.628610e-02	1.387405e-02	2.070918e-02	2.422864e-02	-3.519460e-03
279           	4.145301e-01	1.908757e-01	2.236544e-01	6.568209e-02	1.870225e-01	-1.213404e-01	1.541814e-01	-1.638931e-02	1.391084e-02	2.099790e-02	2.440979e-02	-3.411893e-03
280           	4.141323e-01	1.904791e-01	2.236532e-01	6.542526e-02	1.866660e-01	-1.212407e-01	1.539534e-01	-1.658702e-02	1.398059e-02	2.149701e-02	2.472909e-02	-3.232084e-03
281           	4.138483e-01	1.900987e-01	2.237496e-01	6.541389e-02	1.865845e-01	-1.211707e-01	1.538776e-01	-1.682544e-02	1.411711e-02	2.204383e-02	2.513903e-02	-3.095200e-03
282           	4.137123e-01	1.897408e-01	2.239714e-01	6.533119e-02	1.864938e-01	-1.211627e-01	1.538282e-01	-1.711531e-02	1.427331e-02	2.270060e-02	2.562361e-02	-2.923014e-03
283           	4.137352e-01	1.895010e-01	2.242342e-01	6.538754e-02	1.865856e-01	-1.211980e-01	1.538918e-01	-1.736663e-02	1.446851e-02	2.325567e-02	2.609634e-02	-2.840676e-03
284           	4.138526e-01	1.893139e-01	2.245388e-01	6.537908e-02	1.866711e-01	-1.212920e-01	1.539815e-01	-1.761245e-02	1.464631e-02	2.383874e-02	2.656568e-02	-2.726936e-03
285           	4.140995e-01	1.892357e-01	2.248639e-01	6.544082e-02	1.868842e-01	-1.214434e-01	1.541638e-01	-1.781412e-02	1.480245e-02	2.433250e-02	2.696870e-02	-2.636203e-03
286           	4.142809e-01	1.891149e-01	2.251660e-01	6.541216e-02	1.869815e-01	-1.215693e-01	1.542754e-01	-1.802551e-02	1.487858e-02	2.491259e-02	2.733488e-02	-2.422287e-03
287           	4.145395e-01	1.890628e-01	2.254767e-01	6.548355e-02	1.872110e-01	-1.217274e-01	1.544692e-01	-1.820693e-02	1.486909e-02	2.544312e-02	2.759065e-02	-2.147533e-03
288           	4.147574e-01	1.889748e-01	2.257825e-01	6.543938e-02	1.873129e-01	-1.218735e-01	1.545932e-01	-1.840386e-02	1.471098e-02	2.607891e-02	2.775043e-02	-1.671525e-03
289           	4.149579e-01	1.889270e-01	2.260309e-01	6.549631e-02	1.874871e-01	-1.219908e-01	1.547390e-01	-1.855198e-02	1.445527e-02	2.662347e-02	2.776701e-02	-1.143536e-03
290           	4.150516e-01	1.888013e-01	2.262503e-01	6.546390e-02	1.875303e-01	-1.220664e-01	1.547984e-01	-1.872453e-02	1.407648e-02	2.725844e-02	2.770570e-02	-4.472601e-04
291           	4.151039e-01	1.886888e-01	2.264151e-01	6.555284e-02	1.876431e-01	-1.220903e-01	1.548667e-01	-1.886311e-02	1.362694e-02	2.779813e-02	2.752601e-02	2.721222e-04
292           	4.150684e-01	1.884984e-01	2.265699e-01	6.555538e-02	1.876200e-01	-1.220646e-01	1.548423e-01	-1.903573e-02	1.309428e-02	2.842302e-02	2.730579e-02	1.117236e-03
293           	4.150790e-01	1.883692e-01	2.267098e-01	6.572348e-02	1.877185e-01	-1.219951e-01	1.548568e-01	-1.917029e-02	1.252428e-02	2.893522e-02	2.699189e-02	1.943327e-03
294           	4.150600e-01	1.882164e-01	2.268436e-01	6.585572e-02	1.877435e-01	-1.218878e-01	1.548156e-01	-1.931363e-02	1.191956e-02	2.947966e-02	2.665939e-02	2.820273e-03
295           	4.150923e-01	1.881579e-01	2.269344e-01	6.612040e-02	1.878744e-01	-1.217540e-01	1.548142e-01	-1.938824e-02	1.128478e-02	2.989829e-02	2.623392e-02	3.664369e-03
296           	4.151165e-01	1.881304e-01	2.269861e-01	6.636313e-02	1.879709e-01	-1.216077e-01	1.547893e-01	-1.942784e-02	1.063449e-02	3.027691e-02	2.577295e-02	4.503966e-03
297           	4.151903e-01	1.882313e-01	2.269590e-01	6.679029e-02	1.882566e-01	-1.214663e-01	1.548614e-01	-1.936385e-02	1.000173e-02	3.045008e-02	2.522677e-02	5.223311e-03
298           	4.153071e-01	1.884066e-01	2.269005e-01	6.711569e-02	1.885197e-01	-1.214041e-01	1.549619e-01	-1.924695e-02	9.408353e-03	3.052012e-02	2.466842e-02	5.851709e-03
299           	4.154223e-01	1.886640e-01	2.267584e-01	6.751235e-02	1.888853e-01	-1.213729e-01	1.551291e-01	-1.904720e-02	8.862291e-03	3.039912e-02	2.406185e-02	6.337267e-03
300           	4.155385e-01	1.889428e-01	2.265957e-01	6.788093e-02	1.892678e-01	-1.213869e-01	1.553274e-01	-1.882647e-02	8.333224e-03	3.026202e-02	2.346423e-02	6.797785e-03
301           	4.156461e-01	1.892654e-01	2.263807e-01	6.836867e-02	1.897971e-01	-1.214284e-01	1.556128e-01	-1.855768e-02	7.872559e-03	2.998119e-02	2.286316e-02	7.118037e-03
302           	4.157673e-01	1.895416e-01	2.262257e-01	6.879239e-02	1.903144e-01	-1.215220e-01	1.559182e-01	-1.834207e-02	7.469827e-03	2.973602e-02	2.233784e-02	7.398184e-03
303           	4.158010e-01	1.897641e-01	2.260369e-01	6.924848e-02	1.908517e-01	-1.216033e-01	1.562275e-01	-1.813640e-02	7.175585e-03	2.938366e-02	2.186741e-02	7.516244e-03
304           	4.158371e-01	1.899244e-01	2.259127e-01	6.961186e-02	1.912952e-01	-1.216834e-01	1.564893e-01	-1.799411e-02	6.986799e-03	2.902351e-02	2.149855e-02	7.524954e-03
305           	4.158372e-01	1.900471e-01	2.257901e-01	6.983490e-02	1.916320e-01	-1.217971e-01	1.567145e-01	-1.787153e-02	6.908429e-03	2.859396e-02	2.120541e-02	7.388550e-03
306           	4.158411e-01	1.901161e-01	2.257250e-01	6.998192e-02	1.918965e-01	-1.219145e-01	1.569055e-01	-1.780443e-02	6.876875e-03	2.823549e-02	2.099462e-02	7.240873e-03
307           	4.158654e-01	1.901683e-01	2.256971e-01	7.007465e-02	1.921514e-01	-1.220767e-01	1.571141e-01	-1.776439e-02	6.860812e-03	2.799119e-02	2.085641e-02	7.134783e-03
308           	4.159208e-01	1.901684e-01	2.257524e-01	7.019430e-02	1.924405e-01	-1.222462e-01	1.573434e-01	-1.779202e-02	6.810589e-03	2.793730e-02	2.077924e-02	7.158062e-03
309           	4.158641e-01	1.900944e-01	2.257696e-01	7.044140e-02	1.928259e-01	-1.223845e-01	1.576052e-01	-1.783759e-02	6.711122e-03	2.802291e-02	2.072258e-02	7.300333e-03
310           	4.157431e-01	1.899406e-01	2.258025e-01	7.072609e-02	1.931936e-01	-1.224675e-01	1.578306e-01	-1.793092e-02	6.586715e-03	2.822717e-02	2.070030e-02	7.526869e-03
311           	4.156056e-01	1.897887e-01	2.258170e-01	7.093077e-02	1.934875e-01	-1.225568e-01	1.580222e-01	-1.801416e-02	6.503688e-03	2.832151e-02	2.066445e-02	7.657068e-03
312           	4.154842e-01	1.896551e-01	2.258291e-01	7.111663e-02	1.937222e-01	-1.226056e-01	1.581639e-01	-1.808698e-02	6.482151e-03	2.826634e-02	2.061532e-02	7.651020e-03
313           	4.153165e-01	1.895540e-01	2.257624e-01	7.120608e-02	1.938493e-01	-1.226432e-01	1.582463e-01	-1.810421e-02	6.503232e-03	2.804028e-02	2.052337e-02	7.516910e-03
314           	4.151993e-01	1.894662e-01	2.257331e-01	7.122308e-02	1.939069e-01	-1.226838e-01	1.582953e-01	-1.813345e-02	6.517553e-03	2.782040e-02	2.042776e-02	7.392650e-03
315           	4.150139e-01	1.893379e-01	2.256760e-01	7.116292e-02	1.938623e-01	-1.226994e-01	1.582809e-01	-1.816905e-02	6.524523e-03	2.763455e-02	2.034180e-02	7.292752e-03
316           	4.148223e-01	1.891874e-01	2.256349e-01	7.110057e-02	1.937700e-01	-1.226694e-01	1.582197e-01	-1.822374e-02	6.526396e-03	2.753848e-02	2.029563e-02	7.242841e-03
317           	4.146944e-01	1.890430e-01	2.256513e-01	7.102364e-02	1.937131e-01	-1.226895e-01	1.582013e-01	-1.830413e-02	6.517967e-03	2.754892e-02	2.029243e-02	7.256495e-03
318           	4.146179e-01	1.888744e-01	2.257436e-01	7.100014e-02	1.936849e-01	-1.226848e-01	1.581848e-01	-1.843460e-02	6.498233e-03	2.771324e-02	2.035485e-02	7.358389e-03
319           	4.145364e-01	1.886555e-01	2.258808e-01	7.101432e-02	1.936788e-01	-1.226645e-01	1.581716e-01	-1.861264e-02	6.449310e-03	2.801589e-02	2.045726e-02	7.558636e-03
320           	4.144545e-01	1.884118e-01	2.260427e-01	7.096997e-02	1.936153e-01	-1.226453e-01	1.581303e-01	-1.881546e-02	6.363867e-03	2.841717e-02	2.057245e-02	7.844718e-03
321           	4.140861e-01	1.879493e-01	2.261367e-01	7.078614e-02	1.932968e-01	-1.225107e-01	1.579037e-01	-1.909371e-02	6.263863e-03	2.904374e-02	2.078573e-02	8.258007e-03
322           	4.135964e-01	1.875477e-01	2.260487e-01	7.058078e-02	1.928593e-01	-1.222786e-01	1.575689e-01	-1.925047e-02	6.133303e-03	2.952355e-02	2.089508e-02	8.628470e-03
323           	4.130592e-01	1.872906e-01	2.257686e-01	7.050156e-02	1.925324e-01	-1.220308e-01	1.572816e-01	-1.923903e-02	6.020802e-03	2.968579e-02	2.086370e-02	8.822095e-03
324           	4.127606e-01	1.873278e-01	2.254328e-01	7.041188e-02	1.922919e-01	-1.218801e-01	1.570860e-01	-1.905247e-02	5.909746e-03	2.948783e-02	2.065366e-02	8.834167e-03
325           	4.125906e-01	1.875415e-01	2.250491e-01	7.042360e-02	1.921717e-01	-1.217481e-01	1.569599e-01	-1.875382e-02	5.815474e-03	2.902011e-02	2.032553e-02	8.694580e-03
326           	4.125505e-01	1.878739e-01	2.246766e-01	7.048273e-02	1.921151e-01	-1.216324e-01	1.568737e-01	-1.840137e-02	5.704309e-03	2.840284e-02	1.990573e-02	8.497113e-03
327           	4.123538e-01	1.881241e-01	2.242298e-01	7.061212e-02	1.920274e-01	-1.214153e-01	1.567214e-01	-1.805286e-02	5.586960e-03	2.776234e-02	1.946813e-02	8.294210e-03
328           	4.120178e-01	1.882267e-01	2.237910e-01	7.074355e-02	1.918668e-01	-1.211232e-01	1.564950e-01	-1.778215e-02	5.457751e-03	2.730137e-02	1.910844e-02	8.192936e-03
329           	4.115376e-01	1.881898e-01	2.233478e-01	7.087983e-02	1.916519e-01	-1.207721e-01	1.562120e-01	-1.757898e-02	5.325230e-03	2.700641e-02	1.882844e-02	8.177977e-03
330           	4.111045e-01	1.880989e-01	2.230056e-01	7.102851e-02	1.914584e-01	-1.204299e-01	1.559442e-01	-1.745332e-02	5.191485e-03	2.695167e-02	1.866732e-02	8.284351e-03
331           	4.106949e-01	1.880354e-01	2.226594e-01	7.120730e-02	1.912934e-01	-1.200861e-01	1.556898e-01	-1.731200e-02	5.091332e-03	2.688475e-02	1.853371e-02	8.351046e-03
332           	4.104890e-01	1.880596e-01	2.224294e-01	7.146818e-02	1.912567e-01	-1.197885e-01	1.555226e-01	-1.718487e-02	5.002926e-03	2.689600e-02	1.845093e-02	8.445076e-03
333           	4.103221e-01	1.880933e-01	2.222287e-01	7.171464e-02	1.912464e-01	-1.195317e-01	1.553890e-01	-1.706768e-02	4.931660e-03	2.691069e-02	1.838701e-02	8.523687e-03
334           	4.103264e-01	1.881620e-01	2.221644e-01	7.201977e-02	1.913454e-01	-1.193256e-01	1.553355e-01	-1.700120e-02	4.824804e-03	2.705820e-02	1.835390e-02	8.704297e-03
335           	4.103541e-01	1.882223e-01	2.221318e-01	7.228907e-02	1.914792e-01	-1.191901e-01	1.553346e-01	-1.695472e-02	4.695541e-03	2.719167e-02	1.829138e-02	8.900296e-03
336           	4.105813e-01	1.883188e-01	2.222625e-01	7.255386e-02	1.916965e-01	-1.191426e-01	1.554195e-01	-1.697187e-02	4.513254e-03	2.743354e-02	1.823003e-02	9.203519e-03
337           	4.107471e-01	1.883768e-01	2.223703e-01	7.278795e-02	1.918811e-01	-1.190931e-01	1.554871e-01	-1.699673e-02	4.312273e-03	2.760492e-02	1.811473e-02	9.490186e-03
338           	4.110353e-01	1.884417e-01	2.225936e-01	7.307403e-02	1.921277e-01	-1.190537e-01	1.555907e-01	-1.707597e-02	4.082770e-03	2.784465e-02	1.800510e-02	9.839558e-03
339           	4.112379e-01	1.884685e-01	2.227694e-01	7.331202e-02	1.923039e-01	-1.189919e-01	1.556479e-01	-1.715048e-02	3.863206e-03	2.797998e-02	1.785320e-02	1.012679e-02
340           	4.114429e-01	1.884488e-01	2.229941e-01	7.354993e-02	1.924356e-01	-1.188856e-01	1.556606e-01	-1.727268e-02	3.635868e-03	2.816690e-02	1.771932e-02	1.044758e-02
341           	4.114827e-01	1.883701e-01	2.231125e-01	7.369670e-02	1.924643e-01	-1.187676e-01	1.556160e-01	-1.737120e-02	3.455099e-03	2.821290e-02	1.756155e-02	1.065135e-02
342           	4.115088e-01	1.882782e-01	2.232306e-01	7.376091e-02	1.924181e-01	-1.186572e-01	1.555377e-01	-1.747620e-02	3.283268e-03	2.826497e-02	1.741575e-02	1.084922e-02
343           	4.113148e-01	1.881285e-01	2.231863e-01	7.370076e-02	1.922104e-01	-1.185097e-01	1.553601e-01	-1.752894e-02	3.146279e-03	2.819044e-02	1.724150e-02	1.094894e-02
344           	4.111811e-01	1.880257e-01	2.231554e-01	7.362157e-02	1.920086e-01	-1.183871e-01	1.551979e-01	-1.756488e-02	3.016739e-03	2.811659e-02	1.707504e-02	1.104156e-02
345           	4.109672e-01	1.879416e-01	2.230256e-01	7.343972e-02	1.917281e-01	-1.182884e-01	1.550082e-01	-1.754204e-02	2.894503e-03	2.794757e-02	1.686829e-02	1.107928e-02
346           	4.108445e-01	1.879467e-01	2.228978e-01	7.330067e-02	1.914941e-01	-1.181934e-01	1.548437e-01	-1.747560e-02	2.762505e-03	2.773069e-02	1.662785e-02	1.110284e-02
347           	4.106986e-01	1.880003e-01	2.226982e-01	7.314932e-02	1.912766e-01	-1.181273e-01	1.547020e-01	-1.734897e-02	2.627916e-03	2.743870e-02	1.634727e-02	1.109143e-02
348           	4.106638e-01	1.881753e-01	2.224885e-01	7.306873e-02	1.911469e-01	-1.180782e-01	1.546126e-01	-1.715663e-02	2.501671e-03	2.704127e-02	1.602231e-02	1.101896e-02
349           	4.106015e-01	1.884045e-01	2.221970e-01	7.296185e-02	1.910259e-01	-1.180641e-01	1.545450e-01	-1.689625e-02	2.377410e-03	2.652856e-02	1.564169e-02	1.088687e-02
350           	4.106357e-01	1.887331e-01	2.219026e-01	7.291803e-02	1.909927e-01	-1.180747e-01	1.545337e-01	-1.658474e-02	2.259706e-03	2.592715e-02	1.522328e-02	1.070387e-02
351           	4.106482e-01	1.890789e-01	2.215693e-01	7.285048e-02	1.909788e-01	-1.181283e-01	1.545536e-01	-1.624522e-02	2.159733e-03	2.527393e-02	1.479670e-02	1.047723e-02
352           	4.107217e-01	1.894648e-01	2.212568e-01	7.282769e-02	1.910144e-01	-1.181867e-01	1.546006e-01	-1.589602e-02	2.098076e-03	2.459838e-02	1.439726e-02	1.020111e-02
353           	4.107328e-01	1.897975e-01	2.209354e-01	7.277254e-02	1.910430e-01	-1.182704e-01	1.546567e-01	-1.556894e-02	2.065965e-03	2.396322e-02	1.404757e-02	9.915645e-03
354           	4.108401e-01	1.901355e-01	2.207046e-01	7.274508e-02	1.911463e-01	-1.184012e-01	1.547738e-01	-1.528458e-02	2.065961e-03	2.340747e-02	1.376970e-02	9.637775e-03
355           	4.108736e-01	1.903890e-01	2.204846e-01	7.262816e-02	1.911761e-01	-1.185479e-01	1.548620e-01	-1.504783e-02	2.081821e-03	2.294099e-02	1.355232e-02	9.388676e-03
356           	4.109401e-01	1.905981e-01	2.203420e-01	7.252961e-02	1.912085e-01	-1.186789e-01	1.549437e-01	-1.487196e-02	2.124249e-03	2.256094e-02	1.340472e-02	9.156221e-03
357           	4.109966e-01	1.908856e-01	2.201110e-01	7.233609e-02	1.912121e-01	-1.188760e-01	1.550440e-01	-1.461267e-02	2.163540e-03	2.201003e-02	1.316856e-02	8.841475e-03
358           	4.110003e-01	1.910228e-01	2.199775e-01	7.220258e-02	1.911713e-01	-1.189687e-01	1.550700e-01	-1.447735e-02	2.221812e-03	2.165794e-02	1.305078e-02	8.607156e-03
359           	4.109873e-01	1.912535e-01	2.197338e-01	7.199057e-02	1.911001e-01	-1.191095e-01	1.551048e-01	-1.424019e-02	2.239997e-03	2.110931e-02	1.279465e-02	8.314656e-03
360           	4.109472e-01	1.914048e-01	2.195424e-01	7.190908e-02	1.910618e-01	-1.191527e-01	1.551073e-01	-1.406883e-02	2.264909e-03	2.067506e-02	1.260244e-02	8.072623e-03
361           	4.108347e-01	1.915203e-01	2.193144e-01	7.182160e-02	1.909839e-01	-1.191623e-01	1.550731e-01	-1.389705e-02	2.284365e-03	2.023316e-02	1.240094e-02	7.832212e-03
